step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,11.958566992389791,0,0.0,0.9561416207166458,0,0.0
10.0,6,0,0,0,6,0,0.0,0.0,12.268162681274433,0,0.0,0.9487857018889091,0,0.0
15.0,10,0,0,0,10,0,0.0,0.0,12.123362596908631,0,0.0,0.8643293058320589,0,0.0
20.0,13,0,1,0,13,0,4.0,0.3076923076923077,12.317347057216988,1,4.0,0.8759841496644831,1,4.0
25.0,14,0,1,2,16,0,9.0,0.6428571428571429,10.281361754053806,1,9.0,0.6666062466457227,1,9.0
30.0,17,0,3,3,20,0,23.0,1.3529411764705883,9.573502042958927,3,23.0,0.6446170078060525,3,23.0
35.0,21,0,4,4,25,0,42.0,2.0,10.042030747441574,4,42.0,0.6633369279255986,4,42.0
40.0,22,0,4,6,28,0,62.0,2.8181818181818183,9.290694891247831,4,62.0,0.6310412528961359,4,62.0
45.0,22,0,5,11,33,0,85.0,3.8636363636363638,8.499842291794803,5,85.0,0.5080687771936582,5,85.0
50.0,25,0,8,12,37,0,120.0,4.8,8.58454947150208,8,120.0,0.478483248935254,8,120.0
55.0,24,0,9,15,39,0,163.0,6.791666666666667,7.478050614002615,9,163.0,0.35516909904394695,9,163.0
60.0,25,0,11,17,42,0,214.0,8.56,6.907380878563332,11,214.0,0.24485799457150248,11,214.0
65.0,22,0,12,21,43,0,273.0,12.409090909090908,6.020606143390537,12,273.0,0.19369851385007764,12,273.0
70.0,21,0,13,23,44,0,335.0,15.952380952380953,4.723698222261005,13,335.0,0.08551785859071397,13,335.0
75.0,17,0,14,28,45,0,402.0,23.647058823529413,2.4006524873509574,14,402.0,0.10696913681295445,14,402.0
80.0,21,0,15,29,50,0,473.0,22.523809523809526,3.872911737784654,15,473.0,0.27521379489469083,15,473.0
85.0,25,0,15,29,54,0,548.0,21.92,4.392344809122573,15,548.0,0.2836662789674325,15,548.0
90.0,28,0,17,29,57,0,631.0,22.535714285714285,4.6824914272250595,17,631.0,0.23014353957767839,17,631.0
95.0,31,0,19,30,61,0,722.0,23.29032258064516,5.0949996973573635,19,722.0,0.25292250653143467,19,722.0
100.0,31,0,19,31,62,0,817.0,26.35483870967742,4.99375993279594,19,817.0,0.22498592573032997,19,817.0
105.0,32,0,19,34,66,0,912.0,28.5,5.242703099926155,19,912.0,0.2572328618120942,19,912.0
110.0,34,0,14,35,69,0,535.0,15.735294117647058,5.19169928012818,14,824.0,0.25651629710080415,14,824.0
115.0,33,0,6,40,73,0,88.0,2.6666666666666665,6.305778912272399,6,516.0,0.3370768067576067,6,516.0
120.0,33,0,7,41,74,0,32.0,0.9696969696969697,7.073049878086792,7,260.0,0.31229312160084,7,260.0
125.0,32,0,10,45,77,0,74.0,2.3125,7.554038834251163,10,125.0,0.34520048320149616,10,125.0
130.0,29,0,12,49,78,0,132.0,4.551724137931035,7.080851238163876,12,132.0,0.2302484520933863,12,132.0
135.0,26,0,13,55,81,0,194.0,7.461538461538462,6.351017313645106,13,194.0,0.18257447571844537,13,194.0
140.0,22,0,14,61,83,0,263.0,11.954545454545455,4.157404606122251,14,263.0,0.20288154707575473,14,263.0
145.0,26,0,16,63,89,0,339.0,13.038461538461538,4.5931962090245575,16,339.0,0.2793115081581807,16,339.0
150.0,29,0,19,64,93,0,426.0,14.689655172413794,3.8966824307767287,19,426.0,0.22782982812890276,19,426.0
155.0,32,0,21,64,96,0,524.0,16.375,3.3246078965210852,21,524.0,0.12753501138549975,21,524.0
160.0,34,0,26,65,99,0,645.0,18.970588235294116,2.702067145722176,26,645.0,0.0984987527905084,26,645.0
165.0,34,0,27,67,101,0,780.0,22.941176470588236,2.1432979449163505,27,780.0,0.11091482850772529,27,780.0
