step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
235.0,38,40,7,95,133,0,46.0,1.2105263157894737,7.620060642607943,7,981.0,0.3840026333651825,7,981.0
240.0,38,38,8,100,138,0,85.0,2.236842105263158,8.54167860644948,8,591.0,0.4569843773267191,8,591.0
245.0,36,38,8,106,142,0,125.0,3.4722222222222223,8.302507992334172,8,308.0,0.4309626094758887,8,308.0
250.0,40,33,8,111,151,0,165.0,4.125,8.496995166917,8,165.0,0.4766426229088788,8,165.0
255.0,40,31,9,116,156,0,210.0,5.25,8.741644835262004,9,210.0,0.4955717221843863,9,210.0
260.0,41,30,11,122,163,0,258.0,6.2926829268292686,7.922275899267546,11,258.0,0.43281724186966003,11,258.0
265.0,42,27,13,127,169,0,320.0,7.619047619047619,7.171662463913627,13,320.0,0.368954834417157,13,320.0
270.0,44,25,17,132,176,0,397.0,9.022727272727273,6.717432426741382,17,397.0,0.36796850482669,17,397.0
275.0,44,21,19,137,181,0,484.0,11.0,5.814676082689943,19,484.0,0.30842487953168335,19,484.0
280.0,49,19,20,138,187,0,583.0,11.89795918367347,6.018259238610111,20,583.0,0.298540192305076,20,583.0
285.0,48,19,21,144,192,0,685.0,14.270833333333334,6.011477085381897,21,685.0,0.2840452662458295,21,685.0
290.0,47,18,21,149,196,0,790.0,16.80851063829787,5.688477596265523,21,790.0,0.24188583879363498,21,790.0
295.0,47,16,21,154,201,0,895.0,19.04255319148936,5.706347563447755,21,895.0,0.26378772777612136,21,895.0
300.0,49,14,21,158,207,0,1000.0,20.408163265306122,6.22346491851937,21,1000.0,0.28022635617979363,21,1000.0
305.0,49,13,22,163,212,0,1107.0,22.591836734693878,6.344745745402762,22,1107.0,0.2736261577990356,22,1107.0
310.0,50,8,22,168,218,0,1217.0,24.34,6.087230004259206,22,1217.0,0.27548290717972335,22,1217.0
315.0,50,6,23,174,224,0,1328.0,26.56,6.089743219695728,23,1328.0,0.2937450606860937,23,1328.0
320.0,51,4,19,178,229,0,890.0,17.45098039215686,4.623332654549387,19,1244.0,0.21878030177370414,19,1244.0
325.0,54,0,15,183,237,0,315.0,5.833333333333333,5.046555200778779,15,976.0,0.25230219679772037,15,976.0
330.0,55,0,13,187,242,0,81.0,1.4727272727272727,4.817860471494215,13,679.0,0.23090533360514873,13,679.0
335.0,54,0,19,190,244,0,151.0,2.7962962962962963,4.999862434167942,19,464.0,0.21309589885066108,19,464.0
340.0,53,0,25,194,247,0,263.0,4.962264150943396,5.19681481388316,25,298.0,0.20140772544355204,25,298.0
345.0,50,0,29,200,250,0,398.0,7.96,4.22198071227958,29,399.0,0.09195230992847275,29,399.0
350.0,47,0,33,206,253,0,557.0,11.851063829787234,3.3040847970772638,33,558.0,0.037716801317367724,33,558.0
355.0,44,0,35,211,255,0,730.0,16.59090909090909,2.269126166698826,35,731.0,0.0578674775633835,35,731.0
360.0,41,0,36,215,256,0,908.0,22.146341463414632,1.532030052564072,36,909.0,0.05037735178818979,36,909.0
365.0,40,2,36,217,257,0,1088.0,27.2,1.4169336218092228,36,1089.0,0.05136298173127008,36,1089.0
370.0,40,4,36,218,258,0,1268.0,31.7,1.3777321073201878,36,1269.0,0.05192612657331072,36,1269.0
375.0,41,6,36,218,259,0,1448.0,35.31707317073171,1.5866834078995191,36,1449.0,0.04963257652300797,36,1449.0
380.0,40,8,36,220,260,0,1628.0,40.7,1.292325971731973,36,1629.0,0.04993987102284878,36,1629.0
385.0,39,11,36,221,260,0,1808.0,46.35897435897436,0.9750700122650731,36,1809.0,0.025961490284697433,36,1809.0
390.0,39,14,36,221,260,0,1988.0,50.97435897435897,0.9618642181364839,36,1989.0,0.025868325610911225,36,1989.0
395.0,38,19,36,222,260,0,2168.0,57.05263157894737,0.686813179986872,36,2169.0,0.0,36,2169.0
400.0,38,21,36,223,261,0,2348.0,61.78947368421053,0.7702166709634269,36,2349.0,0.026568310632165908,36,2349.0
405.0,37,25,36,224,261,0,2528.0,68.32432432432432,0.40785231685705375,36,2529.0,0.02582913142523646,36,2529.0
410.0,39,28,36,224,263,0,2708.0,69.43589743589743,1.0493793174707766,36,2709.0,0.04975680140568767,36,2709.0
415.0,40,31,36,224,264,0,2888.0,72.2,1.3597174396955902,36,2889.0,0.07262606828523782,36,2889.0
420.0,39,34,36,225,264,0,3068.0,78.66666666666667,1.0005999273320736,36,3069.0,0.02540200197776597,36,3069.0
425.0,39,36,30,225,264,0,2624.0,67.28205128205128,1.3045070212152345,30,3031.0,0.026258420154815585,30,3031.0
430.0,38,38,21,226,264,0,1767.0,46.5,3.2314886619588608,21,2749.0,0.08482117747081289,21,2749.0
435.0,37,41,13,227,264,0,1075.0,29.054054054054053,5.6455344059048835,13,2238.0,0.1642591756577948,13,2238.0
440.0,34,44,4,231,265,0,275.0,8.088235294117647,8.032301709126685,4,1691.0,0.3383269486338657,4,1691.0
445.0,32,45,1,237,269,0,19.0,0.59375,9.71180930949755,1,1311.0,0.5982887929239958,1,1311.0
450.0,32,44,1,241,273,0,24.0,0.75,10.264168115609031,1,748.0,0.6418177212706833,1,748.0
455.0,31,43,2,246,277,0,32.0,1.032258064516129,9.67113348812127,2,205.0,0.5459422646376836,2,205.0
460.0,31,39,4,251,282,0,48.0,1.5483870967741935,9.566874756683378,4,48.0,0.5284538698503765,4,48.0
465.0,29,36,4,257,286,0,68.0,2.3448275862068964,9.730766379274055,4,68.0,0.5140444783106454,4,68.0
470.0,28,34,4,263,291,0,88.0,3.142857142857143,9.835367461250698,4,88.0,0.5462021114790171,4,88.0
475.0,29,31,4,267,296,0,108.0,3.7241379310344827,10.079264466633768,4,108.0,0.5552628450999365,4,108.0
480.0,29,28,5,272,301,0,131.0,4.517241379310345,9.582545439777736,5,131.0,0.5167762924019367,5,131.0
485.0,29,25,6,276,305,0,160.0,5.517241379310345,9.352232639746664,6,160.0,0.47844489676635293,6,160.0
490.0,33,23,6,281,314,0,190.0,5.757575757575758,9.704566626546221,6,190.0,0.5726677316879625,6,190.0
495.0,36,19,6,285,321,0,220.0,6.111111111111111,9.295169857690409,6,220.0,0.5795270725858447,6,220.0
500.0,34,17,7,291,325,0,253.0,7.4411764705882355,7.995188385296458,7,253.0,0.4553471805969256,7,253.0
505.0,35,15,9,295,330,0,296.0,8.457142857142857,7.386238695962908,9,296.0,0.38979325786873115,9,296.0
