step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,13.903604222002205,0,0.0,0.9593090570001053,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,12.852016629904254,0,0.0,0.9190601885128207,0,0.0
15.0,10,0,0,0,10,0,0.0,0.0,12.083211625793433,0,0.0,0.9168663242275287,0,0.0
20.0,16,0,0,0,16,0,0.0,0.0,12.740889585349706,0,0.0,0.9010337336572465,0,0.0
25.0,18,0,0,1,19,0,0.0,0.0,10.909985653976173,0,0.0,0.7532859001048529,0,0.0
30.0,15,0,4,5,20,0,11.0,0.7333333333333333,7.5496225760588285,4,11.0,0.4103663118712145,4,11.0
35.0,17,0,1,6,23,0,4.0,0.23529411764705882,7.000155387420423,1,18.0,0.4560973734144038,1,18.0
40.0,18,0,2,9,27,0,8.0,0.4444444444444444,9.627576030192094,2,12.0,0.6706939243768735,2,12.0
45.0,21,0,1,9,30,0,2.0,0.09523809523809523,9.487286731094985,1,6.0,0.6417469048457535,1,6.0
50.0,22,0,5,11,33,0,23.0,1.0454545454545454,7.471503500442072,5,27.0,0.41443656565210163,5,27.0
55.0,23,0,3,16,39,0,10.0,0.43478260869565216,6.74324648208341,3,35.0,0.47381458513800906,3,35.0
60.0,24,0,1,18,42,0,5.0,0.20833333333333334,7.823898689846916,1,18.0,0.4866772139808483,1,18.0
65.0,28,0,3,18,46,0,17.0,0.6071428571428571,9.28969334839253,3,17.0,0.5234744735127992,3,17.0
70.0,27,0,3,22,49,0,32.0,1.1851851851851851,9.916735220842577,3,32.0,0.605870931144152,3,32.0
75.0,27,0,1,25,52,0,3.0,0.1111111111111111,8.729282687629873,1,14.0,0.5345166576259245,1,14.0
80.0,26,0,6,30,56,0,24.0,0.9230769230769231,8.188176383415792,6,24.0,0.4144105221702606,6,24.0
85.0,24,0,4,35,59,0,13.0,0.5416666666666666,7.767179777249381,4,38.0,0.454709956657169,4,38.0
90.0,22,0,1,38,60,0,3.0,0.13636363636363635,8.187974049597774,1,13.0,0.464186957127634,1,13.0
95.0,26,0,2,41,67,0,3.0,0.11538461538461539,9.067697284899118,2,9.0,0.5963620386948802,2,9.0
100.0,27,0,7,44,71,0,27.0,1.0,8.064920841975566,7,33.0,0.4546066407714455,7,33.0
105.0,24,0,5,49,73,0,18.0,0.75,5.86217487115601,5,45.0,0.34091775882284653,5,45.0
110.0,26,0,2,52,78,0,8.0,0.3076923076923077,7.839743407503125,2,31.0,0.47569392794486093,2,31.0
115.0,32,0,4,52,84,0,26.0,0.8125,9.673359496811482,4,30.0,0.5703808492478408,4,30.0
120.0,31,0,4,56,87,0,46.0,1.4838709677419355,9.70896504196861,4,46.0,0.5440124708525085,4,46.0
125.0,30,0,0,61,91,0,0.0,0.0,7.867927196167604,0,29.0,0.43040075051386245,0,29.0
130.0,31,0,6,65,96,0,20.0,0.6451612903225806,7.674916733339737,6,20.0,0.41257021036764696,6,20.0
135.0,30,0,7,70,100,0,22.0,0.7333333333333333,5.93718937685948,7,47.0,0.2945844636036931,7,47.0
140.0,29,0,4,74,103,0,18.0,0.6206896551724138,6.90426810268952,4,47.0,0.3325802341578528,4,47.0
145.0,30,0,2,76,106,0,24.0,0.8,8.257363232939499,2,34.0,0.36776554201189393,2,34.0
150.0,30,0,3,80,110,0,35.0,1.1666666666666667,9.819888288427068,3,37.0,0.5824550545274906,3,37.0
155.0,29,0,3,85,114,0,50.0,1.7241379310344827,10.45428907570605,3,50.0,0.6844004854947039,3,50.0
160.0,25,0,2,90,115,0,5.0,0.2,7.886877676904726,2,14.0,0.4295481126161157,2,14.0
165.0,23,0,7,95,118,0,31.0,1.3478260869565217,6.73500109510106,7,31.0,0.2668805259122888,7,31.0
170.0,25,0,5,97,122,0,22.0,0.88,7.470658434692075,5,48.0,0.4163473239241767,5,48.0
175.0,27,0,0,102,129,0,0.0,0.0,9.04170779897657,0,27.0,0.6044387752696236,0,27.0
180.0,29,0,1,104,133,0,4.0,0.13793103448275862,10.388623007732072,1,5.0,0.6932710768423013,1,5.0
185.0,28,0,1,107,135,0,1.0,0.03571428571428571,7.92884306913084,1,2.0,0.4504166980506007,1,2.0
190.0,28,0,7,112,140,0,23.0,0.8214285714285714,7.15370908541224,7,24.0,0.36264369393456797,7,24.0
195.0,27,0,6,116,143,0,26.0,0.9629629629629629,6.744256750718557,6,52.0,0.3827098884721833,6,52.0
200.0,29,0,2,119,148,0,10.0,0.3448275862068966,7.5099215512808035,2,40.0,0.4040195253637127,2,40.0
205.0,30,0,3,122,152,0,24.0,0.8,8.79401883913137,3,26.0,0.5057086232580503,3,26.0
210.0,31,0,3,125,156,0,39.0,1.2580645161290323,10.47598568294482,3,39.0,0.6947925314004776,3,39.0
215.0,30,0,1,130,160,0,1.0,0.03333333333333333,8.963258468081278,1,13.0,0.5790090605690872,1,13.0
220.0,27,0,6,136,163,0,20.0,0.7407407407407407,8.2319266666586,6,20.0,0.4351829557280814,6,20.0
225.0,29,0,4,140,169,0,13.0,0.4482758620689655,8.450819867246919,4,36.0,0.5061545736311577,4,36.0
230.0,31,0,1,144,175,0,1.0,0.03225806451612903,9.525284024843888,1,15.0,0.5956449366661546,1,15.0
235.0,31,0,2,147,178,0,11.0,0.3548387096774194,9.476306731939433,2,11.0,0.5536937004333671,2,11.0
