step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,13.555412973445291,0,0.0,0.9601627787673491,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,13.489150447682274,0,0.0,0.9481715621916728,0,0.0
15.0,10,0,1,0,10,0,1.0,0.1,11.018474365307918,1,1.0,0.7730767959481273,1,1.0
20.0,12,0,2,0,12,0,9.0,0.75,10.20332091523256,2,9.0,0.7187939983826228,2,9.0
25.0,14,0,0,1,15,0,0.0,0.0,9.356338456560414,0,0.0,0.7141936656107077,0,0.0
30.0,13,0,2,3,16,0,7.0,0.5384615384615384,8.946142161613997,2,7.0,0.4894696240745964,2,7.0
35.0,15,0,0,4,19,0,0.0,0.0,9.439442446771851,0,5.0,0.6269156242564704,0,5.0
40.0,14,0,1,7,21,0,4.0,0.2857142857142857,11.236095157145249,1,4.0,0.7948154154821067,1,4.0
45.0,19,0,0,8,27,0,0.0,0.0,11.332270025235308,0,0.0,0.8183502811893705,0,0.0
50.0,19,0,3,11,30,0,9.0,0.47368421052631576,10.653970215426286,3,9.0,0.7190711228390132,3,9.0
55.0,21,0,0,15,36,0,0.0,0.0,8.815002984004247,0,5.0,0.6021567032810675,0,5.0
60.0,22,0,3,18,40,0,13.0,0.5909090909090909,9.988981727432531,3,13.0,0.6517810565245102,3,13.0
65.0,24,0,1,18,42,0,1.0,0.041666666666666664,8.795881255031295,1,10.0,0.5282302972509318,1,10.0
70.0,26,0,4,21,47,0,17.0,0.6538461538461539,9.011406983519736,4,17.0,0.5077015736614708,4,17.0
75.0,25,0,3,26,51,0,6.0,0.24,8.260581101430223,3,24.0,0.45128473533749025,3,24.0
80.0,25,0,3,30,55,0,12.0,0.48,8.868805538823647,3,17.0,0.49988655364015233,3,17.0
85.0,27,0,3,32,59,0,27.0,1.0,9.860695823722654,3,27.0,0.5859219142490031,3,27.0
90.0,29,0,2,34,63,0,3.0,0.10344827586206896,8.655946673900264,2,17.0,0.5247475526704469,2,17.0
95.0,25,0,6,40,65,0,27.0,1.08,8.256233735056357,6,27.0,0.4124042271268383,6,27.0
100.0,24,0,3,44,68,0,9.0,0.375,7.419583592590843,3,37.0,0.34569415701860473,3,37.0
105.0,24,0,0,47,71,0,0.0,0.0,9.929387713782859,0,12.0,0.6079037058492543,0,12.0
110.0,21,0,1,52,73,0,3.0,0.14285714285714285,8.444408043318917,1,10.0,0.3951715705240821,1,10.0
115.0,18,0,8,57,75,0,29.0,1.6111111111111112,6.738942080596458,8,36.0,0.34293623537057705,8,36.0
120.0,19,0,5,60,79,0,20.0,1.0526315789473684,5.547358794006558,5,49.0,0.36623624140410327,5,49.0
125.0,21,0,1,61,82,0,6.0,0.2857142857142857,8.230167771781852,1,27.0,0.49341517235595356,1,27.0
130.0,28,0,2,61,89,0,4.0,0.14285714285714285,8.799240949200325,2,19.0,0.5514992864165418,2,19.0
135.0,29,0,7,64,93,0,28.0,0.9655172413793104,7.546281378051304,7,43.0,0.42083410698022633,7,43.0
140.0,27,0,7,68,95,0,26.0,0.9629629629629629,5.002322808867573,7,59.0,0.2604340282533452,7,59.0
145.0,28,0,4,71,99,0,14.0,0.5,6.19900278788616,4,48.0,0.2861445995981626,4,48.0
150.0,31,0,3,72,103,0,26.0,0.8387096774193549,8.989866951015129,3,40.0,0.49310806212672764,3,40.0
155.0,30,0,4,76,106,0,42.0,1.4,9.365681171246326,4,44.0,0.5626323892557583,4,44.0
160.0,31,0,2,79,110,0,2.0,0.06451612903225806,8.302296932286383,2,23.0,0.47571003759215036,2,23.0
165.0,26,0,6,85,111,0,25.0,0.9615384615384616,7.723217908394172,6,26.0,0.32554047244862994,6,26.0
170.0,25,0,5,90,115,0,19.0,0.76,6.110528887542678,5,46.0,0.2938968312969409,5,46.0
175.0,29,0,2,93,122,0,8.0,0.27586206896551724,9.18370258681983,2,32.0,0.6057644620083801,2,32.0
180.0,33,0,2,96,129,0,18.0,0.5454545454545454,9.586457107030988,2,18.0,0.6429469304143552,2,18.0
185.0,35,0,1,98,133,0,1.0,0.02857142857142857,8.054766581431787,1,1.0,0.49125469649134307,1,1.0
190.0,33,0,6,103,136,0,21.0,0.6363636363636364,7.040671560950906,6,21.0,0.32734603701088666,6,21.0
195.0,30,0,10,108,138,0,30.0,1.0,4.7072085023989425,10,54.0,0.19828912988014755,10,54.0
200.0,32,0,6,111,143,0,27.0,0.84375,6.6465839845837404,6,69.0,0.35612825283758437,6,69.0
205.0,32,0,4,114,146,0,36.0,1.125,7.848259174010968,4,65.0,0.35497838618835803,4,65.0
210.0,32,0,4,118,150,0,56.0,1.75,9.372325322243896,4,60.0,0.5182705658168857,4,60.0
215.0,31,0,5,123,154,0,80.0,2.5806451612903225,9.734674644389985,5,80.0,0.6041253608562145,5,80.0
220.0,34,0,1,127,161,0,3.0,0.08823529411764706,7.851830249686339,1,51.0,0.5106658633728116,1,51.0
225.0,34,0,6,132,166,0,26.0,0.7647058823529411,7.3008368657556435,6,26.0,0.4552295510654077,6,26.0
230.0,36,0,8,135,171,0,24.0,0.6666666666666666,6.752945438439415,8,51.0,0.3902400147231488,8,51.0
235.0,34,0,5,139,173,0,10.0,0.29411764705882354,6.33947102379101,5,49.0,0.25698973603058073,5,49.0
240.0,33,0,5,143,176,0,28.0,0.8484848484848485,8.05838030952404,5,41.0,0.35341274250408256,5,41.0
245.0,32,0,5,148,180,0,53.0,1.65625,9.486141984998486,5,54.0,0.514577914465216,5,54.0
250.0,31,0,0,153,184,0,0.0,0.0,8.207951495754767,0,36.0,0.5032500731075331,0,36.0
255.0,29,0,6,158,187,0,18.0,0.6206896551724138,7.557611866930185,6,18.0,0.3818252905761252,6,18.0
260.0,32,0,6,161,193,0,20.0,0.625,7.258384877662506,6,43.0,0.42493313576675773,6,43.0
265.0,31,0,3,165,196,0,11.0,0.3548387096774194,8.054842441146606,3,34.0,0.4685448815536809,3,34.0
270.0,33,0,6,168,201,0,35.0,1.0606060606060606,8.717781131875837,6,37.0,0.4695697529057946,6,37.0
275.0,30,0,8,172,202,0,72.0,2.4,8.320434691891567,8,72.0,0.33798121106239853,8,72.0
280.0,29,0,6,177,206,0,29.0,1.0,7.4168718013856125,6,79.0,0.365565867397047,6,79.0
285.0,30,0,4,181,211,0,18.0,0.6,8.763497325752677,4,40.0,0.47032390679336156,4,40.0
290.0,28,0,3,186,214,0,9.0,0.32142857142857145,7.236211748249545,3,50.0,0.3550852275500354,3,50.0
295.0,26,0,5,191,217,0,28.0,1.0769230769230769,7.556188379867332,5,54.0,0.38506607494716516,5,54.0
300.0,28,0,5,193,221,0,53.0,1.8928571428571428,9.648244099283664,5,75.0,0.5305455448551888,5,75.0
305.0,29,0,2,196,225,0,2.0,0.06896551724137931,8.013141464326669,2,50.0,0.44464088672851254,2,50.0
310.0,24,0,7,202,226,0,27.0,1.125,7.0144610268559795,7,27.0,0.2763818066463396,7,27.0
315.0,25,0,12,205,230,0,79.0,3.16,6.224071839997675,12,79.0,0.27964564523939467,12,79.0
320.0,23,0,8,210,233,0,60.0,2.608695652173913,5.48030222500287,8,108.0,0.3301417537869906,8,108.0
