step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
235.0,19,0,6,134,153,0,36.0,1.894736842105263,8.181185103779498,6,49.0,0.44303997988095667,6,49.0
240.0,19,0,2,137,156,0,6.0,0.3157894736842105,7.205359422908266,2,43.0,0.46375909639088053,2,43.0
245.0,21,0,1,137,158,0,4.0,0.19047619047619047,9.029194015537563,1,10.0,0.5705932786493827,1,10.0
250.0,22,0,4,140,162,0,11.0,0.5,7.933273340784421,4,17.0,0.46908469494723665,4,17.0
255.0,21,0,9,143,164,0,43.0,2.0476190476190474,6.837497097718277,9,49.0,0.3118339508208656,9,49.0
260.0,21,0,6,146,167,0,26.0,1.2380952380952381,5.844245668621052,6,62.0,0.2907755450624985,6,62.0
265.0,22,0,0,149,171,0,0.0,0.0,8.369127429274128,0,30.0,0.4880893439468934,0,30.0
270.0,27,0,0,149,176,0,0.0,0.0,10.252090825266789,0,4.0,0.6246302204578809,0,4.0
275.0,28,0,1,152,180,0,5.0,0.17857142857142858,11.44117534751655,1,5.0,0.79210419353903,1,5.0
280.0,25,0,1,157,182,0,1.0,0.04,9.354219209391223,1,1.0,0.5317406339693758,1,1.0
285.0,21,0,7,162,183,0,25.0,1.1904761904761905,7.445426374465756,7,25.0,0.24793284388820516,7,25.0
290.0,21,0,3,167,188,0,15.0,0.7142857142857143,7.252938078207173,3,42.0,0.4271635348310844,3,42.0
295.0,19,0,1,170,189,0,2.0,0.10526315789473684,9.33886615974387,1,20.0,0.5670857986438044,1,20.0
300.0,20,0,3,171,191,0,5.0,0.25,8.509228040274273,3,17.0,0.36129890758057165,3,17.0
305.0,21,0,7,174,195,0,31.0,1.4761904761904763,8.447720238354366,7,43.0,0.4395332993974007,7,43.0
310.0,19,0,3,178,197,0,13.0,0.6842105263157895,6.7419264995283825,3,44.0,0.37330213727540823,3,44.0
315.0,20,0,0,180,200,0,0.0,0.0,8.473358914615556,0,14.0,0.43844131470475955,0,14.0
