step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,2,0,0,0,2,0,0.0,0.0,13.406696155811044,0,0.0,0.9812456505073393,0,0.0
10.0,7,0,0,0,7,0,0.0,0.0,13.587712974723926,0,0.0,0.9662448657175149,0,0.0
15.0,11,0,0,0,11,0,0.0,0.0,12.540152580474636,0,0.0,0.8683963642813547,0,0.0
20.0,13,0,2,0,13,0,6.0,0.46153846153846156,10.509114997923975,2,6.0,0.6336914626095467,2,6.0
25.0,18,0,4,0,18,0,22.0,1.2222222222222223,10.91261016220474,4,22.0,0.6173183873509468,4,22.0
30.0,21,0,4,2,23,0,42.0,2.0,10.805731416100299,4,42.0,0.6522322648888368,4,42.0
35.0,19,0,4,6,25,0,62.0,3.263157894736842,9.455468125945421,4,62.0,0.5535501575142686,4,62.0
40.0,20,0,5,9,29,0,86.0,4.3,8.566041394423422,5,86.0,0.5313378655291869,5,86.0
45.0,23,0,6,10,33,0,116.0,5.043478260869565,9.110706020318586,6,116.0,0.565326664353364,6,116.0
50.0,23,0,6,13,36,0,146.0,6.3478260869565215,8.782718190170568,6,146.0,0.491364631878657,6,146.0
55.0,24,0,7,15,39,0,179.0,7.458333333333333,8.7078878256591,7,179.0,0.4220379505114916,7,179.0
60.0,23,0,8,19,42,0,217.0,9.434782608695652,8.130107870544046,8,217.0,0.4265434773183779,8,217.0
65.0,19,0,10,24,43,0,261.0,13.736842105263158,6.703603709942516,10,261.0,0.22001330893870127,10,261.0
70.0,22,0,10,26,48,0,311.0,14.136363636363637,7.690511456309182,10,311.0,0.3668312042893712,10,311.0
75.0,22,0,10,29,51,0,361.0,16.40909090909091,7.127208477840057,10,361.0,0.3867577042930972,10,361.0
80.0,24,0,12,31,55,0,416.0,17.333333333333332,6.60075306482468,12,416.0,0.3385556900346039,12,416.0
85.0,25,0,13,33,58,0,478.0,19.12,5.06192767247125,13,478.0,0.24048543092924998,13,478.0
90.0,26,0,16,36,62,0,553.0,21.26923076923077,4.52703762924079,16,553.0,0.24902569166471078,16,553.0
