step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.55825134449204,0,0.0,0.9684390629855285,0,0.0
10.0,0,0.0,0.0,13.878556591234078,0,0.0,0.9483439991370766,0,0.0
15.0,0,0.0,0.0,12.69710381411026,0,0.0,0.8955698112232634,0,0.0
20.0,1,4.0,0.3076923076923077,11.351989979044674,1,4.0,0.7258755799005328,1,4.0
25.0,0,0.0,0.0,10.977721572340473,0,0.0,0.8004378844835403,0,0.0
30.0,1,1.0,0.058823529411764705,11.090119596662916,1,1.0,0.7189868025826547,1,1.0
35.0,0,0.0,0.0,10.81901483957473,0,0.0,0.7721712270320218,0,0.0
40.0,0,0.0,0.0,11.827594579931109,0,0.0,0.8504195582949443,0,0.0
45.0,1,2.0,0.1,9.899269475050675,1,2.0,0.6464477009138935,1,2.0
50.0,4,15.0,0.6818181818181818,8.608865001990312,4,15.0,0.5077101780452266,4,15.0
55.0,2,7.0,0.35,6.738204118790373,2,25.0,0.40648936935603047,2,25.0
60.0,1,4.0,0.21052631578947367,7.705622238653383,1,13.0,0.44894462064222307,1,13.0
65.0,3,6.0,0.2857142857142857,7.417387675566749,3,15.0,0.4019787510201585,3,15.0
70.0,7,33.0,1.5714285714285714,6.773395539430804,7,42.0,0.28905526077028815,7,42.0
75.0,5,21.0,1.05,6.428582078497473,5,55.0,0.36462433055254895,5,55.0
80.0,0,0.0,0.0,8.770993102435261,0,26.0,0.5622336376341495,0,26.0
85.0,2,7.0,0.3181818181818182,8.13000985412989,2,33.0,0.45230886467344444,2,33.0
90.0,8,38.0,1.8095238095238095,6.033420855881961,8,64.0,0.34541454714890263,8,64.0
95.0,7,30.0,1.4285714285714286,5.3034282317398915,7,74.0,0.382115427881381,7,74.0
100.0,2,8.0,0.36363636363636365,7.342892114551082,2,44.0,0.4007807271045609,2,44.0
105.0,2,5.0,0.20833333333333334,7.21300041298591,2,33.0,0.37117268827979155,2,33.0
110.0,8,32.0,1.3333333333333333,6.603321248393184,8,60.0,0.27813762372219425,8,60.0
115.0,6,30.0,1.3043478260869565,4.9573179653646156,6,73.0,0.2490245312353656,6,73.0
120.0,1,3.0,0.125,7.2724782297675885,1,45.0,0.3920046285718511,1,45.0
125.0,1,8.0,0.2962962962962963,10.54791399425841,1,14.0,0.674248699582879,1,14.0
130.0,1,2.0,0.08333333333333333,8.683120501498054,1,5.0,0.47861947882033307,1,5.0
135.0,7,26.0,1.3,6.294228175651215,7,29.0,0.09751644486857311,7,29.0
140.0,4,17.0,0.85,7.433610094101326,4,44.0,0.4168746365513785,4,44.0
145.0,0,0.0,0.0,9.774077846051023,0,20.0,0.6534857223929237,0,20.0
150.0,0,0.0,0.0,11.55310288054394,0,0.0,0.8116891105701004,0,0.0
155.0,2,3.0,0.13043478260869565,8.365414660003687,2,3.0,0.43033808099433474,2,3.0
160.0,7,30.0,1.3636363636363635,5.803123145895718,7,30.0,0.27042300151736903,7,30.0
165.0,6,24.0,1.263157894736842,4.517271756308049,6,54.0,0.3001998667013112,6,54.0
170.0,0,0.0,0.0,7.341884275850618,0,35.0,0.4454510141768373,0,35.0
175.0,0,0.0,0.0,10.574109454639451,0,9.0,0.7167880016164498,0,9.0
180.0,1,1.0,0.034482758620689655,10.726176481759472,1,1.0,0.7466420072126366,1,1.0
185.0,1,1.0,0.034482758620689655,9.313505718852504,1,1.0,0.5929670466692637,1,1.0
190.0,7,24.0,0.9230769230769231,7.865659021548938,7,24.0,0.39380313037306397,7,24.0
195.0,5,20.0,0.9090909090909091,5.427180480197125,5,46.0,0.24395879495325284,5,46.0
200.0,1,4.0,0.16666666666666666,8.227552460539435,1,35.0,0.4495196518284318,1,35.0
205.0,1,9.0,0.36,10.4703795350294,1,14.0,0.6603460203501063,1,14.0
210.0,2,2.0,0.08333333333333333,7.962583218086493,2,7.0,0.404393340684435,2,7.0
215.0,8,29.0,1.3181818181818181,7.008822107997397,8,34.0,0.2803949912620219,8,34.0
220.0,6,25.0,1.1904761904761905,5.983031229873345,6,53.0,0.33855222980914235,6,53.0
225.0,0,0.0,0.0,7.844670028898625,0,32.0,0.4565467011886618,0,32.0
230.0,1,5.0,0.21739130434782608,11.188375888229102,1,6.0,0.6737964808022139,1,6.0
235.0,3,5.0,0.22727272727272727,9.274341004017346,3,6.0,0.5260932600902586,3,6.0
240.0,6,32.0,1.4545454545454546,7.621919364091695,6,33.0,0.4199344911518618,6,33.0
245.0,4,14.0,0.6666666666666666,6.923718885896905,4,46.0,0.431288599217867,4,46.0
250.0,1,6.0,0.2727272727272727,8.556126176217894,1,20.0,0.5111081515856603,1,20.0
255.0,3,20.0,0.8,10.061951335314617,3,20.0,0.555840429658428,3,20.0
260.0,1,1.0,0.043478260869565216,8.005393848774242,1,10.0,0.42522164124862183,1,10.0
265.0,7,28.0,1.1666666666666667,8.408340810404425,7,28.0,0.4441965262467323,7,28.0
270.0,3,15.0,0.6,7.444810944146464,3,45.0,0.45063182073060315,3,45.0
275.0,2,8.0,0.3076923076923077,7.565226906059044,2,20.0,0.413804814032445,2,20.0
280.0,2,18.0,0.6428571428571429,10.200595902011376,2,18.0,0.6225760360767061,2,18.0
285.0,2,3.0,0.1,8.097190751957609,2,3.0,0.5128592014323969,2,3.0
290.0,7,30.0,0.967741935483871,7.384029420634729,7,30.0,0.37832491667170925,7,30.0
295.0,7,26.0,0.8666666666666667,6.107111866944352,7,56.0,0.32323484576745604,7,56.0
300.0,4,8.0,0.27586206896551724,6.132441992846655,4,51.0,0.3285908372971441,4,51.0
305.0,4,20.0,0.5882352941176471,8.141337557282121,4,39.0,0.39755708651466026,4,39.0
310.0,5,43.0,1.303030303030303,8.270924379646136,5,49.0,0.45689098127606587,5,49.0
315.0,6,70.0,1.8918918918918919,8.836759663382338,6,70.0,0.5500931583424079,6,70.0
320.0,7,104.0,2.810810810810811,8.985773693294279,7,104.0,0.5370453316959157,7,104.0
325.0,4,14.0,0.42424242424242425,7.01473369006596,4,85.0,0.3605846543320064,4,85.0
330.0,7,24.0,0.75,7.182726405027644,7,35.0,0.3204394494389598,7,35.0
335.0,9,24.0,0.8571428571428571,6.110572449081476,9,59.0,0.29841883021819127,9,59.0
340.0,6,30.0,1.1111111111111112,6.702375961056856,6,66.0,0.30925745802911225,6,66.0
345.0,6,60.0,2.0689655172413794,8.575791765802691,6,74.0,0.46089058212858486,6,74.0
350.0,3,5.0,0.1724137931034483,7.011284146798277,3,58.0,0.3949088305696611,3,58.0
355.0,8,34.0,1.1333333333333333,7.1630865247277375,8,37.0,0.3619950544468115,8,37.0
360.0,8,30.0,1.0714285714285714,5.742883399164167,8,61.0,0.26801450130093674,8,61.0
365.0,4,15.0,0.5555555555555556,6.726004054063621,4,56.0,0.29857866879170225,4,56.0
370.0,3,27.0,1.0,9.108250815678927,3,39.0,0.46999864100624206,3,39.0
375.0,2,4.0,0.14814814814814814,8.485441606295053,2,26.0,0.49138277013680753,2,26.0
380.0,8,32.0,1.2307692307692308,6.660943500319741,8,44.0,0.338999438692953,8,44.0
385.0,9,31.0,1.24,5.112373237901479,9,66.0,0.2883549443199748,9,66.0
390.0,2,11.0,0.4782608695652174,6.29589552513675,2,49.0,0.29769904441069256,2,49.0
395.0,3,25.0,0.8620689655172413,9.836218490061633,3,35.0,0.6170263678630882,3,35.0
400.0,1,2.0,0.06896551724137931,8.709671215521771,1,15.0,0.5269275331901522,1,15.0
405.0,7,23.0,0.8846153846153846,8.172904729076745,7,29.0,0.39101022802865865,7,29.0
410.0,4,20.0,0.8,7.2657353287399635,4,45.0,0.39598793847967045,4,45.0
415.0,3,10.0,0.43478260869565216,7.87844525196356,3,30.0,0.4384215582658876,3,30.0
420.0,2,4.0,0.16666666666666666,7.453763517304161,2,23.0,0.43730751837672055,2,23.0
425.0,8,32.0,1.1428571428571428,7.460325673318053,8,47.0,0.40364984310526514,8,47.0
430.0,6,26.0,1.0,6.601832536718094,6,63.0,0.376668589330976,6,63.0
435.0,0,0.0,0.0,6.297505981290138,0,36.0,0.30778321174460055,0,36.0
440.0,3,12.0,0.4444444444444444,9.31306107024649,3,17.0,0.5226374981266263,3,17.0
445.0,2,2.0,0.08333333333333333,8.273800545314273,2,13.0,0.4411749151047809,2,13.0
450.0,7,24.0,1.0909090909090908,6.384901394048733,7,30.0,0.21436395867041105,7,30.0
455.0,6,24.0,1.0434782608695652,6.741657957932861,6,50.0,0.3903068040431002,6,50.0
460.0,0,0.0,0.0,7.240435144478579,0,32.0,0.4397697571263383,0,32.0
465.0,0,0.0,0.0,9.125495238367042,0,2.0,0.5388743469682767,0,2.0
470.0,0,0.0,0.0,11.101356920287893,0,0.0,0.8214314493599938,0,0.0
475.0,0,0.0,0.0,10.99055137540076,0,0.0,0.8287733225413876,0,0.0
480.0,2,2.0,0.06451612903225806,8.411653324678236,2,2.0,0.4916743110578001,2,2.0
485.0,7,25.0,0.9259259259259259,6.963134709567464,7,25.0,0.21938958572575998,7,25.0
490.0,7,24.0,1.0,5.889576150190638,7,50.0,0.2681168308651419,7,50.0
495.0,1,2.0,0.09090909090909091,8.096263527267949,1,39.0,0.4380499920788605,1,39.0
500.0,0,0.0,0.0,10.720827651913387,0,10.0,0.6436614545981544,0,10.0
505.0,2,2.0,0.09523809523809523,8.655653680834673,2,12.0,0.42898354818741774,2,12.0
510.0,6,24.0,1.0909090909090908,7.197406334017121,6,34.0,0.3639670227422596,6,34.0
515.0,5,18.0,0.9,5.836337891440475,5,46.0,0.3560368308954444,5,46.0
520.0,0,0.0,0.0,8.451476618311636,0,25.0,0.5355993903640572,0,25.0
525.0,1,3.0,0.10344827586206896,10.437898706496519,1,4.0,0.6530632704085862,1,4.0
530.0,1,8.0,0.26666666666666666,11.309169800012409,1,8.0,0.7762700616677927,1,8.0
535.0,2,2.0,0.07142857142857142,8.990024826824968,2,2.0,0.5312855043413641,2,2.0
540.0,6,23.0,0.8214285714285714,8.416736965425313,6,23.0,0.40886043895508234,6,23.0
545.0,5,16.0,0.5925925925925926,7.780384814750023,5,41.0,0.44320431843427976,5,41.0
550.0,1,2.0,0.08333333333333333,7.688710900313747,1,23.0,0.3903385160897178,1,23.0
555.0,1,7.0,0.2916666666666667,10.118564801249475,1,8.0,0.5771243200121882,1,8.0
560.0,3,5.0,0.25,7.483818621966829,3,8.0,0.28704617272733834,3,8.0
565.0,7,32.0,1.6,7.812938978585093,7,33.0,0.33145962329424267,7,33.0
570.0,2,10.0,0.5263157894736842,7.620959004256476,2,40.0,0.4711421638843672,2,40.0
575.0,0,0.0,0.0,8.63156954631786,0,10.0,0.5548078109826681,0,10.0
580.0,1,1.0,0.041666666666666664,8.170551349078853,1,11.0,0.48373027873224,1,11.0
585.0,7,23.0,0.9583333333333334,6.463791138924772,7,33.0,0.3018474851560146,7,33.0
590.0,6,21.0,0.9130434782608695,5.194744873277906,6,47.0,0.2569224509798415,6,47.0
595.0,1,2.0,0.09090909090909091,6.250529185749621,1,37.0,0.297629184062521,1,37.0
600.0,2,12.0,0.41379310344827586,10.190392794893492,2,19.0,0.6058561617460498,2,19.0
