step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.867761518480739,0,0.0,0.9678325157371056,0,0.0
10.0,0,0.0,0.0,12.38697540628359,0,0.0,0.9079686961351262,0,0.0
15.0,0,0.0,0.0,10.937389133021513,0,0.0,0.8859285727618341,0,0.0
20.0,1,1.0,0.05,11.937995405070255,1,1.0,0.8627275627203701,1,1.0
25.0,1,1.0,0.043478260869565216,10.316916476449773,1,2.0,0.7132741637406804,1,2.0
30.0,3,12.0,0.5454545454545454,9.115614697970354,3,12.0,0.5131957991190658,3,12.0
35.0,3,5.0,0.2,8.159225720417135,3,18.0,0.4709108643637588,3,18.0
40.0,3,15.0,0.5555555555555556,9.949301049025413,3,18.0,0.6698564275987868,3,18.0
45.0,0,0.0,0.0,8.637724189902073,0,6.0,0.5580658192234018,0,6.0
50.0,5,14.0,0.5185185185185185,8.354621275314306,5,14.0,0.4190702192732193,5,14.0
55.0,4,11.0,0.44,7.668825839890052,4,31.0,0.39794240736692127,4,31.0
60.0,1,1.0,0.037037037037037035,8.665735359510396,1,19.0,0.5324525556463463,1,19.0
65.0,3,13.0,0.5,9.859985475826043,3,15.0,0.5454199788234247,3,15.0
70.0,2,5.0,0.2,7.760663765248548,2,12.0,0.44339570615664636,2,12.0
75.0,7,29.0,1.2083333333333333,7.413699814285558,7,31.0,0.3017561960179724,7,31.0
80.0,4,16.0,0.7272727272727273,7.74061234981005,4,43.0,0.42345854584358344,4,43.0
85.0,0,0.0,0.0,9.01507656597212,0,20.0,0.5274488392404989,0,20.0
90.0,2,8.0,0.3333333333333333,10.52424714783743,2,8.0,0.6027271119366436,2,8.0
95.0,2,2.0,0.08695652173913043,8.224402726026574,2,2.0,0.48308695369072663,2,2.0
100.0,7,26.0,1.1304347826086956,6.268509497506133,7,26.0,0.35948129489626013,7,26.0
105.0,6,19.0,0.7916666666666666,6.429679168401603,6,45.0,0.41977553732787687,6,45.0
