step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.011175331770621,0,0.0,0.9626745140102605,0,0.0
10.0,0,0.0,0.0,13.20695661962472,0,0.0,0.9465781548389506,0,0.0
15.0,0,0.0,0.0,11.353560235611488,0,0.0,0.8495877248754587,0,0.0
20.0,1,5.0,0.29411764705882354,11.168379616043493,1,5.0,0.7505846371309183,1,5.0
25.0,1,1.0,0.05263157894736842,9.748953710692378,1,1.0,0.6202234256306419,1,1.0
30.0,5,15.0,0.75,8.396263922486437,5,15.0,0.49348315006776333,5,15.0
35.0,1,4.0,0.21052631578947367,7.387301872009888,1,22.0,0.47098116592971423,1,22.0
40.0,1,3.0,0.15789473684210525,9.832141886798405,1,7.0,0.6498840299127142,1,7.0
45.0,2,4.0,0.18181818181818182,9.303065309530265,2,8.0,0.5981945252186185,2,8.0
50.0,5,24.0,1.0909090909090908,9.171782459322985,5,28.0,0.5540262656862575,5,28.0
55.0,2,5.0,0.22727272727272727,7.8320297005650445,2,25.0,0.4986751260869078,2,25.0
60.0,2,9.0,0.4090909090909091,8.895941769146377,2,13.0,0.5389780999634805,2,13.0
65.0,1,2.0,0.08333333333333333,9.06154544611539,1,4.0,0.5445010932157952,1,4.0
70.0,5,19.0,0.7916666666666666,7.92200468636075,5,20.0,0.3467717978933828,5,20.0
75.0,4,10.0,0.47619047619047616,6.376094695816856,4,31.0,0.2927042234722646,4,31.0
80.0,0,0.0,0.0,8.780812731972901,0,14.0,0.5328801068588823,0,14.0
85.0,0,0.0,0.0,11.11441518681615,0,1.0,0.7923855036427487,0,1.0
90.0,3,5.0,0.21739130434782608,8.693972696845647,3,6.0,0.514597702572056,3,6.0
95.0,7,32.0,1.5238095238095237,6.388200135909919,7,33.0,0.26882934263497255,7,33.0
100.0,10,80.0,4.2105263157894735,5.2542238706109075,10,81.0,0.2268869779268962,10,81.0
105.0,6,48.0,2.4,4.924104346020445,6,99.0,0.2560707181595152,6,99.0
110.0,0,0.0,0.0,7.716475858873591,0,58.0,0.46315201339501927,0,58.0
115.0,0,0.0,0.0,10.172555175838522,0,4.0,0.5364654828993184,0,4.0
120.0,0,0.0,0.0,11.411510528278086,0,0.0,0.7296785666235471,0,0.0
125.0,1,1.0,0.05263157894736842,9.276437540767725,1,1.0,0.4760611274417821,1,1.0
130.0,7,22.0,1.1578947368421053,6.583350189286476,7,22.0,0.3791225475891788,7,22.0
135.0,4,17.0,1.0,4.609788893912902,4,41.0,0.35816148429023564,4,41.0
140.0,0,0.0,0.0,8.238687556829587,0,22.0,0.5175420825170337,0,22.0
145.0,1,4.0,0.16,10.351806521208271,1,4.0,0.7302908856136903,1,4.0
150.0,1,2.0,0.07142857142857142,9.018984458230461,1,2.0,0.5629370799872477,1,2.0
155.0,7,30.0,1.2,7.849175846955418,7,30.0,0.4166527453775174,7,30.0
160.0,4,19.0,0.8260869565217391,5.792039263081459,4,49.0,0.3172478279248165,4,49.0
165.0,5,12.0,0.5,6.628332645233992,5,34.0,0.37765457965858895,5,34.0
170.0,3,5.0,0.1724137931034483,6.696009066346599,3,42.0,0.39476068581934387,3,42.0
175.0,8,33.0,1.064516129032258,6.805132463015607,8,55.0,0.360340522987856,8,55.0
180.0,8,33.0,1.1,6.175282261669852,8,73.0,0.27565896488551556,8,73.0
185.0,2,5.0,0.1724137931034483,7.025991501361302,2,57.0,0.34849104528286523,2,57.0
190.0,3,17.0,0.5666666666666667,8.767900160636804,3,34.0,0.45807362757791836,3,34.0
195.0,3,32.0,1.0,10.4054672430451,3,33.0,0.6467084579195894,3,33.0
200.0,0,0.0,0.0,8.950252897272618,0,14.0,0.5631015953340897,0,14.0
205.0,7,20.0,0.6896551724137931,7.52199433154427,7,20.0,0.3920526013368763,7,20.0
210.0,6,22.0,0.7857142857142857,7.069115189645685,6,45.0,0.36478468253557905,6,45.0
215.0,0,0.0,0.0,7.84821182438323,0,36.0,0.4348944016885706,0,36.0
220.0,3,9.0,0.2903225806451613,9.853159108460533,3,17.0,0.6276193000964392,3,17.0
225.0,1,1.0,0.02857142857142857,9.225271935842544,1,12.0,0.606041019476841,1,12.0
230.0,7,23.0,0.7419354838709677,7.526340882678352,7,29.0,0.3772105186713441,7,29.0
235.0,8,28.0,1.0,5.278404281759039,8,54.0,0.20786206499907847,8,54.0
240.0,4,17.0,0.6538461538461539,7.284087518621338,4,57.0,0.3617945908797877,4,57.0
245.0,2,2.0,0.08,7.597293766773533,2,43.0,0.3378019756467023,2,43.0
250.0,8,24.0,0.96,7.925966812734636,8,54.0,0.39847896781584763,8,54.0
255.0,3,15.0,0.6,7.587864981105667,3,59.0,0.44845092023159916,3,59.0
260.0,0,0.0,0.0,9.279664011339003,0,20.0,0.5822931203936608,0,20.0
265.0,1,3.0,0.11538461538461539,10.463960119937168,1,3.0,0.6373269598180688,1,3.0
270.0,4,6.0,0.24,8.517174893300004,4,6.0,0.47155024556514386,4,6.0
275.0,7,36.0,1.5,7.143482355047546,7,36.0,0.37578749461607064,7,36.0
280.0,7,27.0,1.125,5.740721948838598,7,61.0,0.3249008054862122,7,61.0
285.0,2,8.0,0.34782608695652173,5.826332102061624,2,42.0,0.2883483748490467,2,42.0
290.0,2,18.0,0.6923076923076923,8.993894650066512,2,21.0,0.5124911318793444,2,21.0
295.0,3,4.0,0.14814814814814814,8.157059457864635,3,7.0,0.5174610963135751,3,7.0
300.0,7,30.0,1.1538461538461537,7.10954669088663,7,33.0,0.359484837481865,7,33.0
305.0,6,22.0,1.0,4.544804477629775,6,53.0,0.18571251330979222,6,53.0
310.0,1,3.0,0.14285714285714285,7.075350438580156,1,31.0,0.3650638036972263,1,31.0
315.0,2,3.0,0.125,7.824615227739916,2,31.0,0.4080852511919297,2,31.0
320.0,7,26.0,1.04,7.1278878351415855,7,54.0,0.36507529527528887,7,54.0
325.0,6,24.0,1.0,6.445439706268868,6,68.0,0.38160052174248477,6,68.0
330.0,2,3.0,0.12,7.252016490419964,2,39.0,0.4052033196348124,2,39.0
335.0,4,21.0,0.7,8.785119598231761,4,24.0,0.4839736538438223,4,24.0
340.0,4,41.0,1.2058823529411764,9.962452670032755,4,41.0,0.6244968686623862,4,41.0
345.0,5,63.0,2.1724137931034484,9.420016577633794,5,63.0,0.5383178012231667,5,63.0
350.0,6,90.0,3.103448275862069,9.13788271095946,6,90.0,0.5329371848615176,6,90.0
355.0,2,5.0,0.18518518518518517,8.639599771407736,2,66.0,0.5464115836743912,2,66.0
360.0,3,10.0,0.4166666666666667,8.725660713207766,3,14.0,0.5178411815136024,3,14.0
365.0,1,3.0,0.125,7.874226332707006,1,15.0,0.44374290669458094,1,15.0
370.0,2,12.0,0.5217391304347826,9.803824323441503,2,16.0,0.6406810430280998,2,16.0
375.0,2,5.0,0.20833333333333334,8.264642645384333,2,5.0,0.5037317485635489,2,5.0
380.0,7,30.0,1.3636363636363635,7.600547069391227,7,30.0,0.38854265939662724,7,30.0
385.0,4,14.0,0.56,8.034099337713796,4,43.0,0.4825100267283125,4,43.0
390.0,0,0.0,0.0,9.256241116054214,0,17.0,0.557035230693783,0,17.0
395.0,1,2.0,0.07407407407407407,8.031945544848883,1,14.0,0.4505454216591251,1,14.0
400.0,8,31.0,1.1923076923076923,7.580653240771481,8,43.0,0.336062217266287,8,43.0
405.0,11,82.0,3.4166666666666665,6.728301759967454,11,94.0,0.2771882508575655,11,94.0
410.0,8,56.0,2.4347826086956523,5.224817595597563,8,109.0,0.22461269720847182,8,109.0
415.0,1,3.0,0.13043478260869565,7.228901298226738,1,74.0,0.38563647843826343,1,74.0
420.0,2,2.0,0.07407407407407407,7.089021266479621,2,63.0,0.3796975588638453,2,63.0
425.0,7,25.0,0.8928571428571429,5.195268574580188,7,86.0,0.32087619292762504,7,86.0
430.0,7,23.0,0.8214285714285714,2.8605898890692787,7,88.0,0.2115197189860996,7,88.0
435.0,5,15.0,0.5172413793103449,4.524222469090102,5,68.0,0.20641624256170368,5,68.0
440.0,4,14.0,0.42424242424242425,7.313677340368136,4,50.0,0.2996364899356414,4,50.0
445.0,2,21.0,0.6363636363636364,8.857387053045883,2,46.0,0.4946006541765643,2,46.0
450.0,2,31.0,1.0,9.701267589695883,2,38.0,0.6288374911471124,2,38.0
455.0,3,46.0,1.5333333333333334,9.528582947242557,3,48.0,0.6148993625527326,3,48.0
460.0,4,65.0,2.096774193548387,9.476438653464973,4,65.0,0.5990952389575454,4,65.0
465.0,2,2.0,0.06896551724137931,7.742518250545728,2,22.0,0.48575648856254616,2,22.0
470.0,8,29.0,1.0357142857142858,6.71223127562192,8,30.0,0.34808064164277147,8,30.0
475.0,8,29.0,1.1153846153846154,5.517849730608361,8,58.0,0.263779620605333,8,58.0
480.0,2,7.0,0.25,7.978527339682368,2,45.0,0.44503174151628105,2,45.0
485.0,1,8.0,0.27586206896551724,10.44113615571498,1,24.0,0.6078435734215575,1,24.0
490.0,2,2.0,0.07407407407407407,8.94938263362562,2,18.0,0.48115923624504014,2,18.0
495.0,9,34.0,1.4782608695652173,6.825766543146379,9,50.0,0.2764337953640157,9,50.0
500.0,6,30.0,1.25,6.126545756131455,6,70.0,0.32225944743232415,6,70.0
505.0,0,0.0,0.0,8.225862309267997,0,42.0,0.48762690672209386,0,42.0
510.0,0,0.0,0.0,10.584669524151886,0,6.0,0.7034441083557971,0,6.0
515.0,2,3.0,0.11538461538461539,8.715212153543998,2,9.0,0.5399853532461366,2,9.0
