step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.993874612514311,0,0.0,0.9757038750538126,0,0.0
10.0,0,0.0,0.0,13.572782254586219,0,0.0,0.9241680393506897,0,0.0
15.0,0,0.0,0.0,11.353820873422936,0,0.0,0.6654297927641928,0,0.0
20.0,1,5.0,0.5,12.529343128404559,1,5.0,0.7305493590866917,1,5.0
25.0,0,0.0,0.0,12.5413953814104,0,0.0,0.905145038664457,0,0.0
30.0,1,1.0,0.07692307692307693,10.081311739451486,1,1.0,0.7088912937667412,1,1.0
35.0,0,0.0,0.0,7.546778394162447,0,4.0,0.5485327994737743,0,4.0
40.0,0,0.0,0.0,9.778783881462411,0,0.0,0.6308857712677519,0,0.0
45.0,2,5.0,0.25,8.857199147412407,2,5.0,0.4685135113370272,2,5.0
50.0,7,32.0,2.0,4.918035092512846,7,32.0,0.15968561256086874,7,32.0
55.0,6,22.0,1.375,4.455821718260973,6,52.0,0.21467161367491203,6,52.0
60.0,1,8.0,0.4444444444444444,9.368631469210596,1,31.0,0.5945306207411333,1,31.0
65.0,3,7.0,0.3333333333333333,8.33194354472772,3,30.0,0.4728409151477818,3,30.0
70.0,9,41.0,2.05,5.386111955964751,9,64.0,0.24842717442164602,9,64.0
75.0,6,29.0,1.380952380952381,5.294508373563375,6,75.0,0.3217196722725454,6,75.0
80.0,0,0.0,0.0,7.477197346395279,0,40.0,0.441519314653064,0,40.0
85.0,0,0.0,0.0,9.27317553866659,0,6.0,0.5198154421324678,0,6.0
90.0,0,0.0,0.0,10.085568634566558,0,0.0,0.6891782286112883,0,0.0
95.0,2,2.0,0.08,8.82712139372345,2,2.0,0.5824813027991229,2,2.0
100.0,8,27.0,1.2272727272727273,6.4958718325633376,8,27.0,0.34557562758869803,8,27.0
105.0,4,20.0,1.0,5.084327083252054,4,47.0,0.21425361421412834,4,47.0
110.0,3,11.0,0.4782608695652174,8.347945050511854,3,32.0,0.5330778580995148,3,32.0
115.0,3,7.0,0.30434782608695654,7.472653771502375,3,33.0,0.4174684638865191,3,33.0
120.0,8,40.0,1.6666666666666667,6.628780471426005,8,61.0,0.32013097125616785,8,61.0
125.0,6,30.0,1.25,6.31082458041931,6,72.0,0.3540012524079379,6,72.0
130.0,1,7.0,0.28,7.476419008438046,1,41.0,0.4006517038238934,1,41.0
135.0,2,16.0,0.5925925925925926,10.523560366704045,2,18.0,0.6781504859565675,2,18.0
140.0,2,2.0,0.06666666666666667,9.157387325557655,2,4.0,0.5894496921628715,2,4.0
145.0,7,26.0,0.896551724137931,8.08221038713602,7,28.0,0.432259841583644,7,28.0
150.0,6,21.0,0.7241379310344828,5.645351171655365,6,48.0,0.28054022979915993,6,48.0
155.0,2,4.0,0.12903225806451613,7.739694487550676,2,37.0,0.4381589678466293,2,37.0
160.0,2,9.0,0.3,8.221036617657091,2,22.0,0.4127871086151009,2,22.0
165.0,3,24.0,0.8,9.779474500753102,3,31.0,0.5846791594259306,3,31.0
170.0,4,42.0,1.5,10.236489666990638,4,42.0,0.6469307840041778,4,42.0
175.0,3,6.0,0.23076923076923078,8.171703446705783,3,25.0,0.4564534391835192,3,25.0
180.0,7,31.0,1.4090909090909092,7.9469333512169635,7,31.0,0.35188272589525044,7,31.0
185.0,3,13.0,0.5909090909090909,7.130168290182258,3,42.0,0.34797033091444374,3,42.0
190.0,1,4.0,0.2,9.250845394783116,1,18.0,0.5499120384629635,1,18.0
195.0,3,6.0,0.2608695652173913,7.93192637807885,3,20.0,0.45465367477624574,3,20.0
200.0,8,37.0,1.85,6.055080207490176,8,51.0,0.3435222769857971,8,51.0
205.0,5,24.0,1.0909090909090908,5.051526682666211,5,59.0,0.3369820907171549,5,59.0
210.0,2,6.0,0.24,7.964754245899984,2,39.0,0.49609785020831854,2,39.0
215.0,2,16.0,0.5925925925925926,9.687528474292817,2,19.0,0.5641428340915379,2,19.0
220.0,2,4.0,0.14285714285714285,8.020780281197382,2,8.0,0.49826013480978726,2,8.0
225.0,7,32.0,1.1851851851851851,7.350693163003691,7,35.0,0.33761760773594895,7,35.0
230.0,5,23.0,0.8846153846153846,6.120449685562905,5,53.0,0.27380840051235766,5,53.0
235.0,1,5.0,0.19230769230769232,8.309302792551573,1,41.0,0.46211809179062097,1,41.0
240.0,1,10.0,0.37037037037037035,9.768580538965455,1,17.0,0.5941334547883786,1,17.0
245.0,2,3.0,0.125,7.919818535432815,2,10.0,0.46188186255320973,2,10.0
250.0,7,28.0,1.12,7.0939622603023,7,35.0,0.24867000815397575,7,35.0
255.0,5,19.0,0.8260869565217391,7.396542907807019,5,49.0,0.4215704868809074,5,49.0
260.0,0,0.0,0.0,9.338416971178813,0,23.0,0.6020007157810723,0,23.0
265.0,1,2.0,0.07692307692307693,10.792169673538934,1,2.0,0.713814307793469,1,2.0
270.0,2,2.0,0.07692307692307693,8.582960616571675,2,2.0,0.5421703848901267,2,2.0
275.0,7,25.0,0.9259259259259259,7.29686231628076,7,25.0,0.3146816558242234,7,25.0
280.0,7,22.0,0.8461538461538461,7.052064592584784,7,48.0,0.3943767409992176,7,48.0
285.0,2,2.0,0.08,8.278282260061435,2,28.0,0.49491133515333924,2,28.0
290.0,2,12.0,0.4444444444444444,10.511948105314113,2,16.0,0.6164474001211994,2,16.0
295.0,2,3.0,0.1111111111111111,8.094787153911037,2,8.0,0.3959526739976204,2,8.0
300.0,8,32.0,1.3333333333333333,7.358760870468092,8,36.0,0.3237826818435849,8,36.0
305.0,6,22.0,0.9565217391304348,6.423276396991756,6,52.0,0.3229199933186518,6,52.0
310.0,1,6.0,0.24,8.330997024779922,1,31.0,0.45302567775478003,1,31.0
315.0,1,11.0,0.3793103448275862,11.3407643472726,1,10.0,0.7081845925885535,1,10.0
320.0,2,3.0,0.09090909090909091,9.918201136367115,2,3.0,0.6004154339386343,2,3.0
325.0,8,32.0,1.0666666666666667,7.469032214449646,8,32.0,0.3652124711059984,8,32.0
330.0,8,31.0,1.1481481481481481,5.134520382906687,8,62.0,0.21603228475327665,8,62.0
335.0,5,13.0,0.4642857142857143,6.278745134084818,5,62.0,0.2946731349004163,5,62.0
340.0,3,24.0,0.8,9.437946023626694,3,43.0,0.534970195009548,3,43.0
345.0,2,5.0,0.15151515151515152,8.842126359296051,2,33.0,0.5557597563943045,2,33.0
350.0,8,34.0,1.1724137931034482,7.2057406116845595,8,53.0,0.3469355698270608,8,53.0
355.0,7,31.0,1.0,6.761963641135873,7,71.0,0.339470611130379,7,71.0
360.0,1,2.0,0.06060606060606061,7.766940202009621,1,51.0,0.43146439022240834,1,51.0
365.0,1,4.0,0.11428571428571428,8.3506912007649,1,20.0,0.4384882785886693,1,20.0
370.0,3,15.0,0.4166666666666667,8.702878590934274,3,15.0,0.45149949339007955,3,15.0
375.0,5,36.0,1.0909090909090908,9.854621308778842,5,36.0,0.5543433369298894,5,36.0
380.0,6,64.0,2.1333333333333333,9.275059781631025,6,64.0,0.47234616006335844,6,64.0
385.0,3,10.0,0.3448275862068966,7.414588798739349,3,55.0,0.3542832693306529,3,55.0
390.0,6,32.0,1.1851851851851851,7.711127330397814,6,37.0,0.39031695107085745,6,37.0
395.0,5,16.0,0.6153846153846154,7.405415571079269,5,52.0,0.4273192766872817,5,52.0
400.0,2,11.0,0.4074074074074074,9.101942331556616,2,30.0,0.5451531976462181,2,30.0
405.0,3,23.0,0.8846153846153846,10.704518566411874,3,28.0,0.6272927460035235,3,28.0
410.0,1,1.0,0.04,8.315124709391773,1,7.0,0.4354004003491671,1,7.0
415.0,6,21.0,1.0,7.562346956804824,6,21.0,0.3173331619083663,6,21.0
420.0,10,65.0,2.9545454545454546,6.862999348823422,10,65.0,0.35417887399595605,10,65.0
425.0,4,34.0,1.4166666666666667,7.595675693405902,4,79.0,0.5201391687091809,4,79.0
430.0,0,0.0,0.0,8.155388088615435,0,36.0,0.5154280390624454,0,36.0
435.0,4,12.0,0.4,8.953028297448903,4,12.0,0.5534972129913096,4,12.0
440.0,6,35.0,1.0,9.711657600468566,6,35.0,0.6393347443782775,6,35.0
445.0,1,2.0,0.06896551724137931,7.886302072611245,1,32.0,0.4600134982581877,1,32.0
450.0,5,19.0,0.6551724137931034,7.724234397613238,5,19.0,0.4129536410403162,5,19.0
455.0,4,11.0,0.44,7.418623761681722,4,32.0,0.3947141615396695,4,32.0
460.0,3,12.0,0.5,8.430217877675565,3,23.0,0.4238517856177669,3,23.0
465.0,1,2.0,0.08,8.532832827638469,1,17.0,0.5184877409254502,1,17.0
470.0,7,25.0,0.9615384615384616,8.355248311730026,7,33.0,0.4773116884615015,7,33.0
475.0,5,15.0,0.6521739130434783,6.632777711097444,5,45.0,0.3757561104118328,5,45.0
480.0,1,6.0,0.25,7.697997114472741,1,19.0,0.4288475174667782,1,19.0
485.0,2,3.0,0.1111111111111111,8.371659603432505,2,19.0,0.5345477402793362,2,19.0
490.0,7,28.0,0.9655172413793104,7.8013557841889005,7,41.0,0.43081606787885346,7,41.0
495.0,5,24.0,0.8571428571428571,6.812893598803276,5,58.0,0.3656990533413111,5,58.0
500.0,1,1.0,0.038461538461538464,7.056556820785374,1,31.0,0.3737368106199453,1,31.0
505.0,1,3.0,0.11538461538461539,9.095483667062194,1,11.0,0.5274027222508206,1,11.0
510.0,2,3.0,0.1111111111111111,8.219684557091885,2,11.0,0.489721489259735,2,11.0
515.0,8,29.0,1.2083333333333333,6.549780034697783,8,37.0,0.33887300174543183,8,37.0
520.0,8,28.0,1.2727272727272727,4.48279090828619,8,59.0,0.2448862494113311,8,59.0
525.0,2,10.0,0.4166666666666667,7.167206998443272,2,47.0,0.4152918624386221,2,47.0
530.0,2,20.0,0.8,9.64618297344006,2,25.0,0.5991358759941992,2,25.0
535.0,1,1.0,0.037037037037037035,7.871353934174272,1,6.0,0.43539845021740536,1,6.0
540.0,7,25.0,1.0,6.822464554356701,7,30.0,0.3540287216149819,7,30.0
545.0,6,25.0,0.9259259259259259,6.694627002492218,6,53.0,0.4065210890306014,6,53.0
550.0,1,5.0,0.19230769230769232,7.230453432023155,1,34.0,0.40075206456764856,1,34.0
555.0,3,16.0,0.5925925925925926,9.138941936859977,3,19.0,0.4849154063990346,3,19.0
560.0,1,2.0,0.06896551724137931,8.519188661833955,1,11.0,0.4921400968673694,1,11.0
565.0,7,24.0,0.8275862068965517,8.894869513213088,7,25.0,0.4952305652265469,7,25.0
570.0,5,17.0,0.6538461538461539,6.198456116828315,5,42.0,0.2876904593581897,5,42.0
575.0,2,10.0,0.4166666666666667,6.6791590952605615,2,33.0,0.2792890200626688,2,33.0
580.0,3,25.0,0.8620689655172413,10.601987596988154,3,27.0,0.6457747107313757,3,27.0
585.0,2,2.0,0.06896551724137931,9.430846695070295,2,12.0,0.599074700217731,2,12.0
590.0,7,26.0,0.896551724137931,8.212622283528573,7,28.0,0.4556041343392196,7,28.0
595.0,6,23.0,0.8518518518518519,6.030166421917636,6,51.0,0.2691339343081762,6,51.0
600.0,3,14.0,0.5384615384615384,6.860312132311018,3,43.0,0.3536612948130301,3,43.0
605.0,3,5.0,0.17857142857142858,7.47669922252868,3,42.0,0.4162858927832739,3,42.0
610.0,8,34.0,1.3076923076923077,7.2709356338400415,8,58.0,0.27972322208920575,8,58.0
615.0,7,27.0,1.125,5.706942401244845,7,70.0,0.21250581435616311,7,70.0
620.0,1,5.0,0.2,7.602049709485847,1,45.0,0.4327754862743465,1,45.0
625.0,1,10.0,0.3333333333333333,10.651026466071905,1,18.0,0.6948650774573524,1,18.0
630.0,2,16.0,0.5161290322580645,10.36231337559699,2,16.0,0.703914605348237,2,16.0
635.0,2,5.0,0.15625,7.470712114041271,2,6.0,0.4660110281956686,2,6.0
640.0,8,33.0,1.064516129032258,7.893031202207255,8,33.0,0.4314471807533318,8,33.0
645.0,9,29.0,0.9666666666666667,6.195452836205551,9,58.0,0.3390665236043693,9,58.0
650.0,4,22.0,0.7857142857142857,6.3051747548151065,4,56.0,0.30181786620771933,4,56.0
655.0,6,48.0,1.5483870967741935,8.939483363993606,6,56.0,0.4833803485051269,6,56.0
660.0,3,5.0,0.16129032258064516,7.721050890077754,3,50.0,0.4211054545070937,3,50.0
665.0,8,32.0,1.0,7.817625440040409,8,40.0,0.4284663421482686,8,40.0
670.0,8,27.0,0.9,5.993500106882271,8,60.0,0.27740227591095373,8,60.0
675.0,3,8.0,0.26666666666666666,7.508951889339267,3,44.0,0.33453084275285405,3,44.0
680.0,2,3.0,0.10714285714285714,7.804334222036346,2,35.0,0.43092642908762335,2,35.0
685.0,7,29.0,1.0,6.684571020164809,7,61.0,0.3185310135596755,7,61.0
690.0,7,24.0,0.9230769230769231,4.638711518953387,7,75.0,0.22156714691515195,7,75.0
695.0,3,6.0,0.2222222222222222,6.2842683211438235,3,54.0,0.3322417708330085,3,54.0
700.0,1,3.0,0.0967741935483871,8.586792458608079,1,25.0,0.43833504288926006,1,25.0
705.0,1,8.0,0.26666666666666666,9.562395453890238,1,17.0,0.5555265073986085,1,17.0
710.0,3,19.0,0.7037037037037037,10.895450279918643,3,19.0,0.6929642659142472,3,19.0
715.0,0,0.0,0.0,9.179835186390513,0,5.0,0.589008476250674,0,5.0
720.0,6,19.0,0.76,8.466910247893576,6,19.0,0.4147009453303358,6,19.0
725.0,4,8.0,0.3076923076923077,7.726952421192762,4,31.0,0.47023864943385796,4,31.0
730.0,1,2.0,0.07692307692307693,8.689247898627087,1,16.0,0.5455682994474381,1,16.0
735.0,1,7.0,0.23333333333333334,10.1741695638079,1,7.0,0.5936674068729607,1,7.0
740.0,4,21.0,0.65625,10.252212689581187,4,21.0,0.636862137137108,4,21.0
745.0,1,2.0,0.06451612903225806,8.347056959213452,1,17.0,0.48392701132868154,1,17.0
750.0,7,23.0,0.8214285714285714,7.485852112244281,7,23.0,0.34058966155231185,7,23.0
755.0,5,20.0,0.8,6.926815441146903,5,44.0,0.2815956801705306,5,44.0
760.0,1,5.0,0.2,8.873489797423908,1,32.0,0.4717824180627584,1,32.0
765.0,1,10.0,0.4166666666666667,11.007368674009507,1,11.0,0.6914193399952291,1,11.0
770.0,1,1.0,0.041666666666666664,9.313884270951162,1,2.0,0.5371478859156414,1,2.0
775.0,7,24.0,1.1428571428571428,7.703214620102766,7,25.0,0.36600804426738687,7,25.0
780.0,4,16.0,0.7619047619047619,5.8022471371125235,4,41.0,0.2637577274347659,4,41.0
785.0,1,5.0,0.25,8.238666752305594,1,27.0,0.47965886137353386,1,27.0
790.0,4,9.0,0.375,8.378670257745872,4,31.0,0.46028829975162777,4,31.0
795.0,9,41.0,1.5185185185185186,8.374364814379481,9,63.0,0.49840246857146814,9,63.0
800.0,6,27.0,1.0,6.399051425535782,6,70.0,0.36846507884592133,6,70.0
805.0,3,7.0,0.25,7.0690862364390314,3,48.0,0.3443773269553645,3,48.0
810.0,2,16.0,0.5333333333333333,9.15993188058829,2,23.0,0.4788381379398662,2,23.0
815.0,3,30.0,1.0714285714285714,9.98064477161783,3,31.0,0.5513228406532279,3,31.0
820.0,2,3.0,0.13043478260869565,7.258631396329936,2,12.0,0.2928963845304186,2,12.0
825.0,6,25.0,1.1904761904761905,7.2148720640869195,6,25.0,0.1806376492122954,6,25.0
830.0,4,14.0,0.7368421052631579,7.173645036278268,4,40.0,0.32395670868836374,4,40.0
835.0,0,0.0,0.0,9.868539355437209,0,17.0,0.6193402521431275,0,17.0
840.0,0,0.0,0.0,9.694598335336458,0,7.0,0.5676842996752351,0,7.0
845.0,6,18.0,0.8571428571428571,7.660625238463307,6,25.0,0.4398415569777483,6,25.0
850.0,5,13.0,0.7222222222222222,5.090677335900223,5,37.0,0.3752425619312528,5,37.0
855.0,1,6.0,0.2608695652173913,8.52347364667816,1,17.0,0.5308129898475337,1,17.0
860.0,2,13.0,0.4642857142857143,10.268007543675182,2,13.0,0.6375422162743851,2,13.0
865.0,2,3.0,0.1,8.603032553642617,2,3.0,0.5673717140211341,2,3.0
