step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.50889785059941,0,0.0,0.9613870912909224,0,0.0
10.0,0,0.0,0.0,13.439093964852145,0,0.0,0.9635803047538728,0,0.0
15.0,1,1.0,0.1,11.644489355654295,1,1.0,0.825965442103743,1,1.0
20.0,1,6.0,0.46153846153846156,11.946819968868589,1,6.0,0.8017326983724834,1,6.0
25.0,0,0.0,0.0,11.83783971907124,0,0.0,0.8813078516488452,0,0.0
30.0,2,5.0,0.29411764705882354,9.59894021776111,2,5.0,0.6738525414547597,2,5.0
35.0,0,0.0,0.0,8.426930742114497,0,4.0,0.598309166617767,0,4.0
40.0,1,3.0,0.16666666666666666,9.939353869886647,1,3.0,0.6542204777913578,1,3.0
45.0,2,3.0,0.125,9.145041216767945,2,3.0,0.5278860283517754,2,3.0
50.0,7,25.0,1.1363636363636365,6.714858856958744,7,25.0,0.3934233816406103,7,25.0
55.0,5,18.0,0.782608695652174,5.094157878481052,5,45.0,0.32046198298864664,5,45.0
60.0,2,8.0,0.3333333333333333,7.69312480981477,2,35.0,0.5002559224789178,2,35.0
65.0,3,19.0,0.7037037037037037,8.696576638924418,3,22.0,0.4989637197675052,3,22.0
70.0,2,4.0,0.13333333333333333,7.535924758474992,2,14.0,0.45968251049309206,2,14.0
75.0,8,30.0,1.0714285714285714,8.657668153370876,8,33.0,0.4565598622892499,8,33.0
80.0,4,17.0,0.6296296296296297,7.014644913290867,4,45.0,0.36988301139165425,4,45.0
85.0,1,5.0,0.19230769230769232,7.519978007787146,1,27.0,0.3508849831429094,1,27.0
90.0,1,10.0,0.4,10.159010204779152,1,13.0,0.6290365573725493,1,13.0
95.0,1,15.0,0.625,11.141905145702632,1,15.0,0.7652065544550372,1,15.0
100.0,0,0.0,0.0,10.086890095230642,0,0.0,0.7056217729759678,0,0.0
105.0,4,10.0,0.43478260869565216,9.099493877078952,4,10.0,0.5097268689539282,4,10.0
110.0,2,7.0,0.30434782608695654,8.233485800827982,2,21.0,0.4892791418287196,2,21.0
115.0,1,1.0,0.045454545454545456,8.81770238509917,1,9.0,0.5612180733853448,1,9.0
120.0,2,7.0,0.28,9.804855074092977,2,7.0,0.6728190607799956,2,7.0
125.0,2,4.0,0.17391304347826086,7.617762708621922,2,4.0,0.4069242961520843,2,4.0
130.0,6,25.0,1.0869565217391304,8.11234347329372,6,25.0,0.32431701012164665,6,25.0
135.0,2,10.0,0.43478260869565216,8.411965606834729,2,35.0,0.49625978811596866,2,35.0
140.0,0,0.0,0.0,9.783732838682836,0,10.0,0.6830322805283854,0,10.0
145.0,1,1.0,0.043478260869565216,9.386415598600196,1,1.0,0.5149793080937074,1,1.0
150.0,7,24.0,1.0909090909090908,7.386124950864097,7,24.0,0.3469343478951125,7,24.0
155.0,6,20.0,0.9090909090909091,5.626830917045105,6,46.0,0.31912782505484383,6,46.0
160.0,1,8.0,0.3333333333333333,9.297079295002609,1,33.0,0.5746583314091457,1,33.0
165.0,3,4.0,0.14285714285714285,8.687765454746089,3,24.0,0.5003175407666284,3,24.0
170.0,8,32.0,1.1851851851851851,6.496842951307189,8,52.0,0.2916684687994829,8,52.0
175.0,9,37.0,1.3703703703703705,5.798861175284797,9,78.0,0.3633127762615618,9,78.0
180.0,2,6.0,0.23076923076923078,6.687458482705409,2,59.0,0.3633345013846701,2,59.0
185.0,4,25.0,0.9615384615384616,8.817213225687722,4,41.0,0.43068791595109734,4,41.0
190.0,2,3.0,0.11538461538461539,7.695238444916324,2,34.0,0.3599442146012137,2,34.0
195.0,8,33.0,1.375,7.767828031132933,8,49.0,0.41213046355064437,8,49.0
200.0,4,19.0,0.8260869565217391,6.644076847010963,4,54.0,0.4106478908768081,4,54.0
205.0,2,4.0,0.18181818181818182,8.54130465146643,2,21.0,0.5303182400316448,2,21.0
