step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.991904111999782,0,0.0,0.981001400733203,0,0.0
10.0,0,0.0,0.0,12.175673839184569,0,0.0,0.9525031610560525,0,0.0
15.0,0,0.0,0.0,10.919728447129282,0,0.0,0.832466360481965,0,0.0
20.0,3,7.0,0.4375,9.657725361003378,3,7.0,0.7152444266346828,3,7.0
25.0,1,2.0,0.1111111111111111,8.718278797692115,1,7.0,0.6400173226729262,1,7.0
30.0,3,11.0,0.6111111111111112,7.850519426364452,3,11.0,0.41847841097859645,3,11.0
35.0,2,2.0,0.09523809523809523,7.760999983715264,2,13.0,0.4132446146990716,2,13.0
40.0,1,6.0,0.2857142857142857,9.618893425421154,1,7.0,0.613541529282128,1,7.0
45.0,2,6.0,0.2857142857142857,7.844457195156427,2,7.0,0.4714853640070995,2,7.0
50.0,6,31.0,1.4090909090909092,8.59351568150337,6,32.0,0.46580532972406197,6,32.0
55.0,2,5.0,0.22727272727272727,7.981963980808584,2,34.0,0.4982612523609165,2,34.0
60.0,3,13.0,0.6190476190476191,8.982497345722821,3,17.0,0.5966551914058471,3,17.0
65.0,1,1.0,0.038461538461538464,9.452004659827233,1,7.0,0.61645702875777,1,7.0
70.0,4,17.0,0.6071428571428571,9.556169013940263,4,17.0,0.5814862548885984,4,17.0
75.0,3,6.0,0.2222222222222222,7.311634507878119,3,25.0,0.4167040984240595,3,25.0
80.0,2,8.0,0.2962962962962963,7.687015630002645,2,17.0,0.4442460834691085,2,17.0
85.0,5,27.0,0.9310344827586207,8.913435070613389,5,27.0,0.4622391260136565,5,27.0
90.0,1,1.0,0.03571428571428571,7.627477515031928,1,20.0,0.43527119253153773,1,20.0
95.0,6,21.0,0.75,7.99851016376862,6,21.0,0.42996315508101857,6,21.0
100.0,3,12.0,0.41379310344827586,8.176635735627162,3,36.0,0.4497551792765762,3,36.0
105.0,1,2.0,0.06896551724137931,8.398141917796819,1,19.0,0.4895242363259659,1,19.0
110.0,3,15.0,0.6,9.315273402583813,3,16.0,0.480133161144068,3,16.0
115.0,1,1.0,0.041666666666666664,7.3270250025887735,1,10.0,0.31869431861865416,1,10.0
120.0,5,21.0,1.0,8.23036650203544,5,22.0,0.39434656903729426,5,22.0
125.0,1,2.0,0.1,7.954672976566866,1,25.0,0.4498539342970987,1,25.0
130.0,1,7.0,0.3181818181818182,10.50222883878475,1,7.0,0.7077308966096574,1,7.0
135.0,1,3.0,0.12,9.841806429069276,1,3.0,0.6582968590682914,1,3.0
140.0,6,24.0,0.9230769230769231,7.341780574479653,6,24.0,0.425463833149167,6,24.0
145.0,6,18.0,0.8181818181818182,4.079049544883095,6,44.0,0.2087115328401589,6,44.0
150.0,3,5.0,0.2,6.826787353685737,3,34.0,0.37141815350504875,3,34.0
155.0,1,6.0,0.23076923076923078,9.204869249594497,1,16.0,0.5158340279215431,1,16.0
160.0,1,11.0,0.39285714285714285,10.875095000657282,1,13.0,0.7596355573286966,1,13.0
